PARAM,AVG_TIME,RUN,FAILED,NB_INSTANCES
1,85.78567640816644,1,0,0
1,72.48678863645182,2,0,1
1,76.50450452189096,3,0,1
10,258.6838796129866,1,0,2
10,145.89140712808475,2,0,4
10,117.79934739387818,3,0,4
20,234.70240941083242,1,0,4
20,190.15214276321686,2,0,7
20,165.9088835249581,3,0,6
50,557.3611551939242,1,0,4
50,507.64764665300856,2,0,7
50,222.87702042079454,3,0,12
100,1083.1881591600095,1,0,4
100,429.34739068234927,2,0,12
100,352.9839775148539,3,0,12
1000,3500.388087559332,1,0,4
1000,1756.0674552798016,2,0,12
1000,1598.0980536792486,3,0,20
